key,value,date
air1,0.003,01/01/13
air1,0.0,02/01/13
air1,0.003,03/01/13
air1,135.839,04/01/13
air1,1110.492,05/01/13
air1,2297.781,06/01/13
air1,3035.443,07/01/13
air1,3813.852,08/01/13
air1,2207.333,09/01/13
air1,489.391,10/01/13
air1,5.974,11/01/13
kitchenapp1,166.286,01/01/13
kitchenapp1,143.105,02/01/13
kitchenapp1,137.548,03/01/13
kitchenapp1,153.873,04/01/13
kitchenapp1,156.753,05/01/13
kitchenapp1,148.582,06/01/13
kitchenapp1,163.429,07/01/13
kitchenapp1,165.57,08/01/13
kitchenapp1,162.922,09/01/13
kitchenapp1,123.476,10/01/13
kitchenapp1,159.558,11/01/13
lights_plugs1,47.973,01/01/13
lights_plugs1,44.92,02/01/13
lights_plugs1,51.521,03/01/13
lights_plugs1,40.575,04/01/13
lights_plugs1,71.041,05/01/13
lights_plugs1,34.916,06/01/13
lights_plugs1,35.488,07/01/13
lights_plugs1,58.462,08/01/13
lights_plugs1,40.384,09/01/13
lights_plugs1,39.319,10/01/13
lights_plugs1,56.078,11/01/13
dishwasher1,40.754,01/01/13
dishwasher1,42.99,02/01/13
dishwasher1,52.102,03/01/13
dishwasher1,39.346,04/01/13
dishwasher1,44.994,05/01/13
dishwasher1,34.017,06/01/13
dishwasher1,43.723,07/01/13
dishwasher1,51.436,08/01/13
dishwasher1,38.059,09/01/13
dishwasher1,30.583,10/01/13
dishwasher1,46.386,11/01/13
oven1,40.524,01/01/13
oven1,38.607,02/01/13
oven1,35.514,03/01/13
oven1,17.228,04/01/13
oven1,20.491,05/01/13
oven1,14.462,06/01/13
oven1,25.896,07/01/13
oven1,22.424,08/01/13
oven1,38.707,09/01/13
oven1,27.203,10/01/13
oven1,63.235,11/01/13
oven2,40.524,01/01/13
oven2,38.607,02/01/13
oven2,35.514,03/01/13
oven2,17.228,04/01/13
oven2,20.491,05/01/13
oven2,14.462,06/01/13
oven2,25.896,07/01/13
oven2,22.424,08/01/13
oven2,38.707,09/01/13
oven2,27.203,10/01/13
oven2,63.235,11/01/13
