key,value,date
air1,454.33,01/01/13
air1,195.676,02/01/13
air1,490.2,03/01/13
air1,446.451,04/01/13
air1,1210.408,05/01/13
air1,2412.837,06/01/13
air1,2014.55,07/01/13
air1,2586.194,08/01/13
air1,1909.403,09/01/13
air1,635.659,10/01/13
air1,493.539,11/01/13
waterheater1,841.817,01/01/13
waterheater1,764.269,02/01/13
waterheater1,1103.744,03/01/13
waterheater1,731.472,04/01/13
waterheater1,789.639,05/01/13
waterheater1,619.861,06/01/13
waterheater1,651.214,07/01/13
waterheater1,620.038,08/01/13
waterheater1,537.807,09/01/13
waterheater1,377.7,10/01/13
waterheater1,756.114,11/01/13
furnace1,85.687,01/01/13
furnace1,50.272,02/01/13
furnace1,101.608,03/01/13
furnace1,84.728,04/01/13
furnace1,216.147,05/01/13
furnace1,442.77,06/01/13
furnace1,365.133,07/01/13
furnace1,442.071,08/01/13
furnace1,344.491,09/01/13
furnace1,129.063,10/01/13
furnace1,102.107,11/01/13
drye1,242.476,01/01/13
drye1,199.784,02/01/13
drye1,277.669,03/01/13
drye1,219.554,04/01/13
drye1,264.899,05/01/13
drye1,215.87,06/01/13
drye1,227.439,07/01/13
drye1,233.59,08/01/13
drye1,109.526,09/01/13
drye1,71.387,10/01/13
drye1,182.282,11/01/13
refrigerator1,201.647,01/01/13
refrigerator1,182.292,02/01/13
refrigerator1,221.586,03/01/13
refrigerator1,199.721,04/01/13
refrigerator1,229.552,05/01/13
refrigerator1,208.817,06/01/13
refrigerator1,223.756,07/01/13
refrigerator1,184.401,08/01/13
refrigerator1,220.212,09/01/13
refrigerator1,144.634,10/01/13
refrigerator1,177.516,11/01/13
oven1,71.241,01/01/13
oven1,85.131,02/01/13
oven1,140.786,03/01/13
oven1,67.964,04/01/13
oven1,75.93,05/01/13
oven1,87.348,06/01/13
oven1,78.966,07/01/13
oven1,119.485,08/01/13
oven1,96.956,09/01/13
oven1,39.254,10/01/13
oven1,109.297,11/01/13
