key,value,date
air1,0.255,01/01/13
air1,0.384,02/01/13
air1,18.972,03/01/13
air1,243.643,04/01/13
air1,916.355,05/01/13
air1,2540.386,06/01/13
air1,2662.649,07/01/13
air1,3114.385,08/01/13
air1,2277.589,09/01/13
air1,593.993,10/01/13
air1,26.059,11/01/13
drye1,93.909,01/01/13
drye1,144.942,02/01/13
drye1,133.271,03/01/13
drye1,173.596,04/01/13
drye1,111.328,05/01/13
drye1,137.928,06/01/13
drye1,90.398,07/01/13
drye1,113.487,08/01/13
drye1,102.236,09/01/13
drye1,68.328,10/01/13
drye1,151.708,11/01/13
garage1,0.0,01/01/13
garage1,0.0,02/01/13
garage1,0.0,03/01/13
garage1,0.0,04/01/13
garage1,0.0,05/01/13
garage1,0.0,06/01/13
garage1,0.0,07/01/13
garage1,0.0,08/01/13
garage1,0.0,09/01/13
garage1,0.0,10/01/13
garage1,0.0,11/01/13
disposal1,0.0,01/01/13
disposal1,0.0,02/01/13
disposal1,0.0,03/01/13
disposal1,0.0,04/01/13
disposal1,0.0,05/01/13
disposal1,0.0,06/01/13
disposal1,0.0,07/01/13
disposal1,0.0,08/01/13
disposal1,0.0,09/01/13
disposal1,0.0,10/01/13
disposal1,0.0,11/01/13
dryg1,0.0,01/01/13
dryg1,0.0,02/01/13
dryg1,0.0,03/01/13
dryg1,0.0,04/01/13
dryg1,0.0,05/01/13
dryg1,0.0,06/01/13
dryg1,0.0,07/01/13
dryg1,0.0,08/01/13
dryg1,0.0,09/01/13
dryg1,0.0,10/01/13
dryg1,0.0,11/01/13
freezer1,0.0,01/01/13
freezer1,0.0,02/01/13
freezer1,0.0,03/01/13
freezer1,0.0,04/01/13
freezer1,0.0,05/01/13
freezer1,0.0,06/01/13
freezer1,0.0,07/01/13
freezer1,0.0,08/01/13
freezer1,0.0,09/01/13
freezer1,0.0,10/01/13
freezer1,0.0,11/01/13
