key,value,date
air1,131.633,01/01/13
air1,106.857,02/01/13
air1,130.491,03/01/13
air1,245.969,04/01/13
air1,799.555,05/01/13
air1,2025.824,06/01/13
air1,2242.886,07/01/13
air1,2744.197,08/01/13
air1,1912.714,09/01/13
air1,469.448,10/01/13
air1,139.629,11/01/13
office1,691.832,01/01/13
office1,557.915,02/01/13
office1,591.283,03/01/13
office1,653.045,04/01/13
office1,708.596,05/01/13
office1,718.783,06/01/13
office1,763.759,07/01/13
office1,690.769,08/01/13
office1,759.012,09/01/13
office1,526.681,10/01/13
office1,689.201,11/01/13
pool2,857.239,01/01/13
pool2,766.933,02/01/13
pool2,860.421,03/01/13
pool2,914.475,04/01/13
pool2,976.446,05/01/13
pool2,947.683,06/01/13
pool2,923.424,07/01/13
pool2,311.731,08/01/13
pool2,0.0,09/01/13
pool2,0.0,10/01/13
pool2,0.0,11/01/13
poolpump1,0.0,01/01/13
poolpump1,0.0,02/01/13
poolpump1,0.0,03/01/13
poolpump1,0.0,04/01/13
poolpump1,0.0,05/01/13
poolpump1,0.0,06/01/13
poolpump1,0.0,07/01/13
poolpump1,547.291,08/01/13
poolpump1,857.989,09/01/13
poolpump1,674.372,10/01/13
poolpump1,713.682,11/01/13
furnace1,154.49,01/01/13
furnace1,118.076,02/01/13
furnace1,129.866,03/01/13
furnace1,140.801,04/01/13
furnace1,122.741,05/01/13
furnace1,206.845,06/01/13
furnace1,225.072,07/01/13
furnace1,265.638,08/01/13
furnace1,209.959,09/01/13
furnace1,72.982,10/01/13
furnace1,68.395,11/01/13
drye1,199.372,01/01/13
drye1,140.348,02/01/13
drye1,120.394,03/01/13
drye1,104.047,04/01/13
drye1,77.409,05/01/13
drye1,105.896,06/01/13
drye1,72.455,07/01/13
drye1,149.184,08/01/13
drye1,106.948,09/01/13
drye1,128.649,10/01/13
drye1,156.115,11/01/13
