key,value,date
air1,0.0,01/01/13
air1,0.0,02/01/13
air1,0.0,03/01/13
air1,92.636,04/01/13
air1,514.444,05/01/13
air1,1167.968,06/01/13
air1,1768.834,07/01/13
air1,1906.73,08/01/13
air1,1673.621,09/01/13
air1,478.365,10/01/13
air1,27.181,11/01/13
kitchen1,206.9,01/01/13
kitchen1,196.617,02/01/13
kitchen1,211.501,03/01/13
kitchen1,226.994,04/01/13
kitchen1,254.867,05/01/13
kitchen1,240.596,06/01/13
kitchen1,261.977,07/01/13
kitchen1,276.707,08/01/13
kitchen1,267.378,09/01/13
kitchen1,185.229,10/01/13
kitchen1,193.364,11/01/13
furnace1,186.555,01/01/13
furnace1,50.156,02/01/13
furnace1,33.317,03/01/13
furnace1,51.73,04/01/13
furnace1,160.488,05/01/13
furnace1,332.274,06/01/13
furnace1,490.522,07/01/13
furnace1,509.194,08/01/13
furnace1,450.502,09/01/13
furnace1,140.523,10/01/13
furnace1,114.347,11/01/13
unknown2,262.501,01/01/13
unknown2,207.193,02/01/13
unknown2,205.743,03/01/13
unknown2,189.118,04/01/13
unknown2,192.866,05/01/13
unknown2,177.531,06/01/13
unknown2,182.055,07/01/13
unknown2,169.199,08/01/13
unknown2,310.625,09/01/13
unknown2,239.721,10/01/13
unknown2,209.438,11/01/13
drye1,112.982,01/01/13
drye1,64.168,02/01/13
drye1,84.071,03/01/13
drye1,83.514,04/01/13
drye1,60.499,05/01/13
drye1,69.906,06/01/13
drye1,83.466,07/01/13
drye1,119.332,08/01/13
drye1,101.056,09/01/13
drye1,93.898,10/01/13
drye1,80.887,11/01/13
bedroom1,52.618,01/01/13
bedroom1,45.722,02/01/13
bedroom1,49.586,03/01/13
bedroom1,73.792,04/01/13
bedroom1,72.843,05/01/13
bedroom1,105.797,06/01/13
bedroom1,117.609,07/01/13
bedroom1,112.425,08/01/13
bedroom1,93.14,09/01/13
bedroom1,39.739,10/01/13
bedroom1,60.993,11/01/13
