key,value,date
air1,12.283,01/01/13
air1,10.142,02/01/13
air1,190.603,03/01/13
air1,609.283,04/01/13
air1,2270.126,05/01/13
air1,5016.947,06/01/13
air1,4372.131,07/01/13
air1,5049.981,08/01/13
air1,3951.401,09/01/13
air1,822.934,10/01/13
air1,89.718,11/01/13
furnace1,369.447,01/01/13
furnace1,188.007,02/01/13
furnace1,277.195,03/01/13
furnace1,321.911,04/01/13
furnace1,683.176,05/01/13
furnace1,1256.942,06/01/13
furnace1,1139.612,07/01/13
furnace1,1313.535,08/01/13
furnace1,1077.478,09/01/13
furnace1,425.702,10/01/13
furnace1,381.713,11/01/13
air2,0.0,01/01/13
air2,0.0,02/01/13
air2,0.0,03/01/13
air2,25.01,04/01/13
air2,121.084,05/01/13
air2,1013.829,06/01/13
air2,1574.891,07/01/13
air2,1821.963,08/01/13
air2,1112.928,09/01/13
air2,156.655,10/01/13
air2,67.399,11/01/13
air3,10.338,01/01/13
air3,0.238,02/01/13
air3,88.009,03/01/13
air3,327.344,04/01/13
air3,992.773,05/01/13
air3,1495.091,06/01/13
air3,728.045,07/01/13
air3,920.522,08/01/13
air3,577.092,09/01/13
air3,277.29,10/01/13
air3,32.403,11/01/13
garage1,577.683,01/01/13
garage1,501.291,02/01/13
garage1,590.296,03/01/13
garage1,486.854,04/01/13
garage1,589.126,05/01/13
garage1,590.206,06/01/13
garage1,538.406,07/01/13
garage1,558.573,08/01/13
garage1,560.811,09/01/13
garage1,237.922,10/01/13
garage1,0.0,11/01/13
furnace2,101.905,01/01/13
furnace2,67.337,02/01/13
furnace2,96.001,03/01/13
furnace2,111.46,04/01/13
furnace2,276.492,05/01/13
furnace2,1620.95,06/01/13
furnace2,684.697,07/01/13
furnace2,563.782,08/01/13
furnace2,369.369,09/01/13
furnace2,227.255,10/01/13
furnace2,134.155,11/01/13
